competition,match,team,matchtype,color,startingside,landed,sampled,claimed,parked,lander,depot,hanging,partincrater,fullyincrater,defense,minor,major,goldhold,silverhold,disconnect
State19,999,13074,Qual,Red,Depot,1,1,1,1,0,8,1,0,0,0,0,0,0,0,0
State19,999,15349,Qual,Red,Depot,1,1,1,1,0,4,1,0,0,0,0,0,0,0,0
State19,999,13074,Qual,Red,Depot,1,1,1,1,0,8,1,0,0,0,0,0,0,0,0
State19,999,15070,Qual,Red,Crater,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0
State19,999,13330,Qual,Red,Depot,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0
State19,999,3491,Qual,Red,Depot,1,1,1,1,6,0,1,0,0,0,0,0,0,1,0
State19,999,6559,Qual,Red,Depot,1,1,1,1,18,0,1,0,0,1,0,0,1,1,0
State19,999,7198,Qual,Red,Crater,1,1,1,1,5,6,1,0,0,0,0,0,0,1,0
State19,999,417,Qual,Red,Crater,1,1,1,1,18,0,1,0,0,0,0,0,1,1,0
State19,999,5446,Qual,Red,Crater,1,1,1,1,4,0,1,0,0,0,0,0,1,1,0
State19,999,5446,Qual,Red,Crater,1,1,1,1,4,0,1,0,0,0,0,0,1,1,0
State19,999,5604,Qual,Red,Crater,1,1,1,1,8,0,1,0,0,0,0,0,1,1,0
State19,999,6220,Qual,Red,Depot,1,2,1,1,24,0,1,0,0,1,0,0,1,1,0
State19,999,9764,Qual,Red,Depot,1,0,1,1,3,0,1,0,0,0,0,0,0,1,0
State19,999,5971,Qual,Red,Depot,1,1,1,1,8,0,1,0,0,0,0,0,1,1,0
State19,999,7742,Qual,Red,Depot,1,1,1,1,4,0,1,0,0,0,0,0,1,1,0
State19,999,8099,Qual,Red,Crater,1,0,1,1,3,0,1,0,0,0,0,0,0,1,0
State19,999,2856,Qual,Red,Depot,1,1,1,1,16,0,1,0,0,1,0,0,1,0,0
State19,999,8923,Qual,Red,Depot,1,1,1,1,24,0,1,0,0,1,0,0,1,1,0
State19,999,11120,Qual,Red,Depot,1,1,1,1,17,0,1,0,0,0,0,0,0,1,0
State19,999,11970,Qual,Red,Crater,1,1,1,1,18,0,1,0,0,0,0,0,0,1,0
State19,999,12089,Qual,Red,Crater,1,1,1,1,16,0,1,0,0,0,0,0,0,0,0
State19,999,11138,Qual,Red,Crater,1,1,1,1,20,0,1,0,0,0,0,0,0,1,0
State19,999,12611,Qual,Red,Crater,1,1,1,1,26,0,1,0,0,0,0,0,0,0,0
State19,999,13648,Qual,Red,Depot,1,0,0,1,0,10,1,0,0,0,0,0,0,0,0
State19,999,11477,Qual,Red,Crater,1,1,1,1,15,0,1,0,0,0,0,0,1,1,0
State19,999,11104,Qual,Red,Crater,1,1,1,1,10,0,1,0,0,1,0,0,1,0,0
State19,999,6559,Qual,Red,Depot,1,1,1,1,18,0,1,0,0,0,0,0,1,1,0
State19,999,5446,Qual,Red,Depot,1,1,1,1,6,0,1,0,0,0,0,0,1,1,0
State19,999,15070,Qual,Red,Crater,1,1,1,1,5,0,1,0,0,0,0,0,1,1,0
State19,999,8103,Qual,Red,Crater,1,1,1,1,26,0,1,0,0,0,0,0,1,1,0
State19,3,11138,Qual,Red,Depot,1,1,1,1,11,0,1,0,0,0,0,0,0,0,0
State19,1,622,Qual,Red,Depot,1,2,0,0,8,0,1,0,0,0,0,0,0,0,0
State19,2,15468,Qual,Red,Depot,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
State19,4,13330,Qual,Red,Depot,1,2,0,0,0,0,0,0,0,0,0,0,0,0,Full
State19,6,12877,Qual,Red,Depot,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0
State19,6,12877,Qual,Red,Depot,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0
State19,1,5604,Qual,Blue,Crater,1,1,0,1,1,0,1,0,0,0,0,0,0,1,Part
State19,2,3491,Qual,Blue,Crater,1,0,0,1,4,0,0,0,0,0,0,0,0,1,0
State19,3,8923,Qual,Blue,Crater,1,0,0,0,15,0,1,0,0,0,0,0,1,1,0
State19,4,5971,Qual,Blue,Crater,1,1,1,1,4,0,1,0,0,0,0,0,0,1,0
State19,5,7742,Qual,Blue,Crater,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0
State19,6,417,Qual,Blue,Crater,1,0,1,1,10,0,1,0,0,0,0,0,1,0,0
State19,1,11104,Qual,Blue,Depot,1,1,1,1,8,1,0,0,0,0,0,0,1,0,Full
State19,3,15349,Qual,Blue,Depot,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
State19,3,15349,Qual,Blue,Depot,1,1,0,1,0,5,0,1,0,0,0,0,0,0,0
State19,4,12089,Qual,Blue,Depot,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Full
State19,6,8628,Qual,Blue,Depot,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0
State19,1,11120,Qual,Red,Crater,1,0,1,1,0,0,0,0,0,0,0,0,0,1,Full
State19,2,9764,Qual,Red,Crater,1,0,0,0,0,0,1,0,0,0,0,0,0,1,Part
State19,3,12611,Qual,Red,Crater,1,0,1,1,28,0,1,0,0,0,0,0,1,1,0
State19,4,8103,Qual,Red,Crater,1,1,1,1,11,0,1,0,0,0,0,0,1,1,0
State19,5,13074,Qual,Red,Crater,1,1,1,1,0,3,1,0,0,1,0,0,0,0,0
State19,6,13648,Qual,Red,Crater,1,1,0,1,0,4,1,0,0,0,0,0,0,0,0
State19,7,5961,Qual,Blue,Depot,1,0,0,0,1,0,0,0,0,0,0,0,1,0,Full
State19,8,11970,Qual,Blue,Depot,1,1,1,1,5,0,0,0,0,0,0,0,0,1,0
State19,9,13074,Qual,Blue,Depot,1,0,0,1,0,3,1,0,0,0,0,0,0,0,Full
State19,17,8099,Qual,Blue,Crater,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0
State19,18,12877,Qual,Blue,Crater,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
State19,19,5961,Qual,Blue,Crater,1,0,0,0,6,0,1,0,0,0,0,0,1,1,0
State19,20,1147,Qual,Blue,Crater,1,1,0,1,6,0,1,0,0,0,0,0,1,0,0
State19,21,8628,Qual,Blue,Crater,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0
State19,22,12089,Qual,Blue,Crater,1,1,0,0,5,0,1,0,0,0,0,0,0,1,0
State19,10,417,Qual,Blue,Depot,1,1,1,0,7,0,1,0,0,0,0,0,1,0,0
State19,11,13330,Qual,Blue,Depot,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
State19,12,12538,Qual,Blue,Depot,1,1,1,0,5,2,1,0,0,0,0,0,1,0,0
State19,13,11970,Qual,Blue,Depot,1,0,1,0,7,0,1,0,0,0,0,0,0,1,Part
State19,14,11121,Qual,Blue,Depot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Full
State19,15,9764,Qual,Blue,Depot,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Part
State19,13,15070,Qual,Red,Depot,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0
State19,14,12877,Qual,Red,Depot,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
State19,15,7198,Qual,Red,Depot,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
State19,16,8628,Qual,Red,Depot,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
State19,17,15349,Qual,Red,Depot,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0
State19,18,15070,Qual,Red,Depot,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0
State19,8,11121,Qual,Red,Depot,1,2,1,1,2,2,1,0,0,0,0,0,0,0,0
State19,9,7198,Qual,Red,Depot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State19,10,2856,Qual,Red,Depot,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0
State19,11,6559,Qual,Red,Depot,1,1,1,1,5,0,1,0,0,0,0,0,0,0,0
State19,12,13648,Qual,Red,Depot,1,2,0,0,0,3,0,1,0,0,0,0,0,0,0
State19,7,12583,Qual,Red,Crater,1,1,1,1,11,0,1,0,0,0,0,0,1,1,0
State19,8,11477,Qual,Red,Crater,1,0,0,1,7,0,1,0,0,0,0,0,1,1,0
State19,9,7198,Qual,Red,Crater,1,1,0,1,5,0,1,0,0,0,0,0,0,1,0
State19,10,15468,Qual,Red,Crater,1,0,1,1,3,0,1,0,0,0,0,0,1,1,0
State19,11,12611,Qual,Red,Crater,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0
State19,12,6220,Qual,Red,Crater,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0
State19,13,15070,Qual,Red,Crater,1,1,0,1,0,0,0,0,0,0,0,0,0,0,Full
State19,14,5961,Qual,Red,Crater,1,0,1,1,7,0,1,0,0,0,0,0,1,1,0
State19,15,11104,Qual,Red,Crater,1,1,0,0,4,0,1,0,0,0,0,0,1,0,0
State19,16,8103,Qual,Red,Crater,1,0,1,1,2,0,0,1,0,0,0,0,1,1,Part
State19,17,5971,Qual,Red,Crater,1,1,0,0,7,0,1,0,0,0,0,0,1,1,0
State19,18,6220,Qual,Red,Crater,1,2,1,1,16,0,1,0,0,0,0,0,1,1,0
State19,7,6559,Qual,Blue,Crater,1,1,1,1,6,0,1,0,0,0,0,0,1,0,0
State19,80,8099,Qual,Blue,Crater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State19,9,11865,Qual,Blue,Crater,1,0,0,0,3,0,0,0,0,0,0,0,0,1,Part
State19,10,1,Qual,Blue,Crater,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
State19,11,7742,Qual,Blue,Crater,1,0,0,1,5,0,1,0,0,0,0,0,0,1,0
State19,12,11138,Qual,Blue,Crater,1,0,1,0,16,0,1,0,0,0,0,0,1,1,0
State19,13,8923,Qual,Blue,Crater,1,1,0,1,16,0,1,0,0,0,0,0,1,1,0
State19,15,3491,Qual,Blue,Crater,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
State19,16,11477,Qual,Blue,Crater,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
State19,17,11865,Qual,Blue,Crater,1,0,0,1,0,2,0,1,0,1,0,0,0,1,0
State19,19,13648,Qual,Red,Depot,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0
State19,20,5604,Qual,Red,Depot,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0
State19,21,,Qual,Red,Depot,1,1,1,1,10,0,1,0,0,0,0,0,0,0,0
State19,22,5446,Qual,Red,Depot,1,1,0,1,5,0,1,0,0,0,0,0,0,0,0
State19,23,1534,Qual,Red,Depot,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0
State19,24,11865,Qual,Red,Depot,1,2,0,0,0,0,0,0,0,0,0,0,0,0,Full
State19,16,5604,Qual,Blue,Depot,1,1,0,1,0,2,1,0,0,0,0,0,0,1,0
State19,17,5446,Qual,Blue,Depot,1,1,1,1,6,0,1,0,0,0,0,0,1,1,0
State19,18,2856,Qual,Blue,Depot,1,0,1,1,4,0,0,0,0,0,0,0,1,0,0
State19,19,11104,Qual,Blue,Depot,1,1,1,1,8,1,0,1,0,0,0,0,1,0,0
State19,20,13330,Qual,Blue,Depot,1,1,0,1,0,5,0,0,0,0,0,0,0,0,0
State19,21,12583,Qual,Blue,Depot,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0
State19,22,3491,Qual,Blue,Depot,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0
State19,23,15468,Qual,Blue,Depot,1,0,1,0,4,0,0,0,0,0,0,0,1,0,0
State19,24,9764,Qual,Blue,Depot,1,0,1,0,0,0,0,0,0,0,0,0,0,1,Full
State19,25,12894,Qual,Blue,Depot,1,1,1,1,5,1,1,0,0,0,0,0,1,0,0
State19,26,11120,Qual,Blue,Depot,1,1,1,1,8,1,1,0,0,0,0,0,1,0,0
State19,27,12877,Qual,Blue,Depot,1,0,1,1,0,4,0,1,0,0,0,0,0,0,0
State19,19,8923,Qual,Red,Crater,1,1,1,0,16,0,1,0,0,0,0,0,1,1,0
State19,20,11138,Qual,Red,Crater,1,0,1,1,18,0,1,0,0,0,0,0,1,1,0
State19,21,798,Qual,Red,Crater,1,0,0,0,2,0,1,0,0,0,0,0,1,1,0
State19,23,7742,Qual,Red,Crater,1,1,0,0,6,0,0,0,0,0,0,0,1,1,0
State19,23,7742,Qual,Red,Crater,1,1,0,0,6,0,0,0,0,0,0,0,1,1,0
State19,24,417,Qual,Red,Crater,1,1,1,1,11,0,1,0,0,0,0,0,1,1,0
State19,25,5971,Qual,Red,Crater,1,1,1,1,4,0,1,0,0,0,0,0,0,1,0
State19,26,12583,Qual,Red,Crater,1,1,1,1,3,0,1,0,0,0,0,0,1,1,0
State19,27,7742,Qual,Red,Crater,1,1,0,0,3,0,1,0,0,0,0,0,1,0,0
State19,28,11477,Qual,Red,Crater,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0
State19,28,11477,Qual,Red,Crater,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0
State19,29,11104,Qual,Red,Crater,1,1,1,1,10,0,1,0,0,0,0,0,1,0,0
State19,30,13074,Qual,Red,Crater,1,1,0,0,0,5,1,0,0,0,0,0,0,0,0
State19,28,13648,Qual,Blue,Depot,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0
State19,30,15349,Qual,Blue,Depot,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0
State19,31,12894,Qual,Blue,Depot,1,1,1,1,2,1,1,0,0,0,0,0,1,0,Full
State19,29,11970,Qual,Blue,Depot,1,0,1,1,5,1,1,0,0,0,0,0,1,1,Full
State19,32,2856,Qual,Blue,Depot,1,0,1,1,3,0,1,0,0,0,0,0,1,0,0
State19,33,8099,Qual,Blue,Depot,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
State19,83,81,Qual,Blue,Crater,1,0,1,1,4,0,1,0,0,0,0,0,1,1,0
State19,24,6559,Qual,Blue,Crater,1,1,1,1,8,0,1,0,0,0,0,0,1,1,0
State19,25,11121,Qual,Blue,Crater,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Part
State19,26,12611,Qual,Blue,Crater,1,1,1,1,22,0,1,0,0,0,0,0,1,1,0
State19,27,5604,Qual,Blue,Crater,1,0,0,0,2,0,0,0,0,0,0,0,0,1,Part
State19,28,6559,Qual,Blue,Depot,1,0,0,1,14,0,1,0,0,0,0,0,1,0,0
State19,31,11120,Qual,Red,Crater,1,0,1,1,10,0,0,0,0,0,0,0,1,1,0
State19,30,5961,Qual,Red,Crater,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Full
State19,31,8923,Qual,Red,Crater,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Full
State19,34,7198,Qual,Red,Crater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full
State19,35,8103,Qual,Red,Crater,1,1,1,1,23,0,0,0,0,0,0,0,1,1,0
State19,36,6559,Qual,Red,Crater,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
State19,31,9764,Qual,Red,Depot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Part
State19,32,11865,Qual,Red,Depot,1,2,0,0,0,0,0,0,0,0,0,0,0,0,Full
State19,33,8628,Qual,Red,Depot,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0
State19,34,13330,Qual,Red,Depot,1,1,1,1,0,4,0,0,0,0,0,0,0,0,0
State19,35,11120,Qual,Red,Depot,1,1,1,1,12,2,1,0,0,0,0,0,0,0,0
State19,36,12089,Qual,Red,Depot,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Full
State19,25,13074,Qual,Red,Depot,1,2,0,0,0,4,1,0,0,0,0,0,0,0,0
State19,26,8099,Qual,Red,Depot,0,2,0,0,0,0,1,0,0,0,0,0,0,0,Part
State19,26,8099,Qual,Red,Depot,0,2,0,0,0,0,1,0,0,0,0,0,0,0,Part
State19,29,5446,Qual,Red,Depot,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0
State19,29,5446,Qual,Red,Depot,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0
State19,30,3491,Qual,Red,Depot,0,2,1,0,0,7,0,1,0,0,0,0,0,0,0
State19,37,417,Qual,Red,Depot,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
State19,38,8628,Qual,Red,Crater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full
State19,39,12877,Qual,Red,Crater,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
State19,40,3490,Qual,Red,Depot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
